Cover,Title,Author,Genre,Rating,Rating Count,Year,Pages
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,The Hunger Games,Suzanne Collins,"Young , Adult, Fiction, Fantasy, Dystopia",4.33,"8,272,162 ratings207,967 reviews","First published September 14, 2008","374 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Young , Adult, Fiction, Magic, Childrens",4.50,"3,267,591 ratings60,535 reviews","First published June 21, 2003","912 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Pride and Prejudice,Jane Austen,"Classics, Fiction, Romance, Historical , Fiction",4.28,"4,103,863 ratings108,310 reviews","First published January 28, 1813","279 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,To Kill a Mockingbird,Harper Lee,"Classics, Fiction, Historical , Fiction, School",4.26,"5,888,672 ratings114,187 reviews","First published July 11, 1960","323 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,The Book Thief,Markus Zusak,"Historical , Fiction, Fiction, Young , Adult",4.39,"2,459,198 ratings140,987 reviews","First published March 1, 2005","592 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,Twilight,Stephenie Meyer,"Fantasy, Young , Adult, Romance, Fiction",3.65,"6,343,105 ratings126,832 reviews","First published October 5, 2005","498 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,Animal Farm,George Orwell,"Classics, Fiction, Dystopia, Fantasy, School",3.98,"3,727,164 ratings90,732 reviews","First published August 17, 1945","128 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, Science ",4.61,"130,773 ratings2,205 reviews","First published January 1, 1954","1728 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,The Chronicles of Narnia,C.S. Lewis,"Fantasy, Classics, Fiction, Young , Adult",4.27,"634,937 ratings12,280 reviews","First published January 1, 1956","767 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,The Fault in Our Stars,John Green,"Young , Adult, Fiction, Contemporary, Realistic ",4.14,"4,937,958 ratings176,387 reviews","First published January 10, 2012","313 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,The Picture of Dorian Gray,Oscar Wilde,"Classics, Fiction, Horror, Fantasy, Gothic",4.12,"1,457,499 ratings64,506 reviews","First published June 1, 1890","272 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,Gone with the Wind,Margaret Mitchell,"Classics, Historical , Fiction, Fiction, Romance",4.31,"1,194,444 ratings23,771 reviews","First published June 30, 1936","1037 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493.jpg,The Giving Tree,Shel Silverstein,"Childrens, Classics, Fiction, Picture , Books",4.38,"1,092,432 ratings21,698 reviews","First published January 1, 1964","64 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,Wuthering Heights,Emily Brontë,"Classics, Fiction, Romance, Gothic, Historical ",3.89,"1,744,194 ratings58,466 reviews","First published December 1, 1847","464 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg,The Perks of Being a Wallflower,Stephen Chbosky,"Young , Adult, Fiction, Coming , Of ",4.23,"1,729,953 ratings86,978 reviews","First published February 1, 1999","213 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,Jane Eyre,Charlotte Brontë,"Classics, Fiction, Romance, Historical , Fiction",4.15,"2,039,051 ratings61,765 reviews","First published October 16, 1847","532 pages, Paperback"
