Cover,Title,Author,Genre,Rating,Rating Count,Year,Pages
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,To Kill a Mockingbird,Harper Lee,"Classics, Fiction, Historical , Fiction, School",4.26,"5,889,033 ratings114,192 reviews","First published July 11, 1960","323 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1170803558l/72193.jpg,Harry Potter and the Philosopher’s Stone,J.K. Rowling,"Fiction, Young , Adult, Magic, Childrens",4.47,"9,637,191 ratings155,419 reviews","First published June 26, 1997","223 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Pride and Prejudice,Jane Austen,"Classics, Fiction, Romance, Historical , Fiction",4.28,"4,104,158 ratings108,318 reviews","First published January 28, 1813","279 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855.jpg,The Diary of a Young Girl,Anne Frank,"Classics, Nonfiction, Biography, Memoir, Historical",4.19,"3,602,741 ratings40,034 reviews","First published January 1, 1947","283 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,Animal Farm,George Orwell,"Classics, Fiction, Dystopia, Fantasy, School",3.98,"3,727,391 ratings90,737 reviews","First published August 17, 1945","128 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,The Little Prince,Antoine de Saint-Exupéry,"Classics, Fiction, Fantasy, Childrens, France",4.32,"2,016,589 ratings64,059 reviews","First published April 6, 1943","96 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,1984,George Orwell,"Classics, Fiction, Science , Fiction, Dystopia",4.19,"4,397,887 ratings109,380 reviews","First published June 8, 1949","368 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671.jpg,The Great Gatsby,F. Scott Fitzgerald,"Classics, Fiction, School, Historical , Fiction",3.93,"5,021,695 ratings99,905 reviews","First published April 10, 1925","180 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,The Catcher in the Rye,J.D. Salinger,"Classics, Fiction, Young , Adult, Literature",3.80,"3,416,599 ratings81,555 reviews","First published July 16, 1951","234 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Science ",4.52,"661,356 ratings14,281 reviews","First published October 20, 1955","1216 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,The Book Thief,Markus Zusak,"Historical , Fiction, Fiction, Young , Adult",4.39,"2,459,335 ratings140,993 reviews","First published March 1, 2005","592 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,Jane Eyre,Charlotte Brontë,"Classics, Fiction, Romance, Historical , Fiction",4.15,"2,039,145 ratings61,770 reviews","First published October 16, 1847","532 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,The Chronicles of Narnia,C.S. Lewis,"Fantasy, Classics, Fiction, Young , Adult",4.27,"634,976 ratings12,280 reviews","First published January 1, 1956","767 pages, Paperback"
